Sage code,Product name
ATEN-PDU-IP-8P,"ATEN 8 Port 19"" Horizontal PDU"
ATEN-PDU-TP-SEN,ATEN PDU Temperature & Humidity Sensor
ATEN-UPS-15-00,"ATEN Professional Online UPS, 1500VA"
ATEN-UPS-30-00,"ATEN Professional Online UPS, 3000VA"
ATEN-UPS-30-BAT,ATEN Additional External Battery for OL3000HV UPS
ATEN-UPS-SN-MP,ATEN SNMP Card For UPS Remote Monitoring
AWE-THX-CALIB,AWE THX Calibration of a Screen
B&W-700-FS-ST,"B&W Stands for 705, 706 and 707 - Black or Silver"
B&W-702-FS-SP,B&W 702 Floorstanding Speaker (1 Pair) - (Blk/Wh)
B&W-703-FS-SP,B&W 703 Floorstanding Speaker (1 Pair) - Specify Colour
B&W-704-FS-SP,B&W 704 Floorstanding Speaker (1 Pair) - Specify Colour
B&W-705-SM-SP,B&W 705 Standmount Speaker (1 Pair) - Specify Colour
B&W-706-SM-SP,B&W 706 Standmount Speaker (1 Pair) - Specify Colour
B&W-707-SM-SP,B&W 707 Standmount Speaker (1 Pair) - Specify Colour
B&W-AM-1-WM-BL,B&W Weatherproof Monitor Speakers (Pair) - Black
B&W-AM-1-WM-WH,B&W Weatherproof Monitor Speakers (Pair) - White
B&W-ASW-608-SB,B&W ASW 608 Active Subwoofer - Black
B&W-ASW-610-SB,B&W ASW 610 Active Subwoofer - Black
B&W-CCM-362-WH,B&W CCM362 Circular Ceiling Speaker (pair) - White
B&W-CCM-382-WH,B&W CCM382 Circular Ceiling Speaker (pair) - White
B&W-CCM-66-GR,"B&W 600 Series Square Grills For 6"" Speakers (Pair)"
B&W-CCM-663-SR,B&W CCM 663 Kevlar Stereo Inceiling Speaker (Single)
B&W-CCM-663-WH,B&W CCM 663 Glass Fibre Inceiling Speaker (Pair)
B&W-CCM-664-SR,B&W CCM 664 Glass Fibre Stereo Inceiling Speaker (Single)
B&W-CCM-664-WH,B&W CCM 664 Glass Fibre Inceiling Speaker (Pair)
B&W-CCM-665-WH,B&W CCM 665 Glass Fibre Inceiling Speaker (Pair)
B&W-CCM-68-GR,"B&W 600 Series Square Grills For 8"" Speakers (Single)"
B&W-CCM-682-WH,B&W CCM 682 Kevlar Inceiling Speaker (Pair)
B&W-CCM-683-WH,B&W CCM 683 Kevlar Inceiling Speaker (Pair)
B&W-CCM-684-WH,B&W CCM 684 Glass Fibre Inceiling Speaker (Pair)
B&W-CCM-73-WH,B&W CCM 7.3 Kevlar Inceiling Square Speaker (Single)
B&W-CCM-75-S2,B&W CCM 7.5 2 Way Inceiling Round Speaker (Single)
B&W-CCM-75-WH,^B&W CCM 7.5 2 Way Inceiling SQUARE S1 Speaker (Single)
B&W-CCM-85D-WH,B&W CCM8.5D Diamond Inceiling Square (Single) Requires BBOX
B&W-CCM-BBOX,B&W Steel Back Box for all 600 Series CCM Ceiling Speakers
B&W-CCM-BBOX-8.5,B&W Steel Back Box for all CCM 8.5 Ceiling Speakers (Single)
B&W-CDA-2HD,B&W CDA-2HD 2 Channel DSP Amplifier
B&W-CWM-362-WH,B&W CWM 362 160mm polypropylene Bass/mid drive unit (pairs)
B&W-CWM-65-BB,Backbox for B&W CWM600 Series In-wall Speakers (Single)
B&W-CWM-652-WH,B&W CWM 652 Kevlar Inwall Speaker (Pair)
B&W-CWM-663-WH,B&W CWM 663 Kevlar Inwall Speaker (Pair)
B&W-CWM-664-WH,B&W CWM 664 Glass Fibre Inwall Speaker (Pair)
B&W-CWM-73-WH,B&W CWM 7.3 Kevlar Inwall Speaker (Single)
B&W-CWM-74-WH,B&W CWM 7.4 Kevlar Inwall Speaker (Single)
B&W-CWM-75-WH,B&W CWM 7.5 Kevlar Inwall Speaker (Single)
B&W-CWM-8.3-DIA,B&W CWM 8.3D Diamond Inwall Speaker(Single) Requires BBOX
B&W-CWM-8.5-DIA,B&W CWM 8.5D Diamond Inwall Speaker(Single) Requires BBOX
B&W-CWM-BBOX-8.3,B&W Inwall back box for CWM8.3D speakers (Single)
B&W-CWM-BBOX-8.5,B&W Inwall back box for CWM8.5D speakers (Single)
B&W-DB-1D-SB,B&W DB1D Active Subwoofer - (Specify Colour)
B&W-DB-2D-SB,B&W DB2D Active Subwoofer - (Specify Colour)
B&W-DB-3D-SB,B&W DB3D Active Subwoofer - (Specify Colour)
B&W-DB-4S-SB,B&W DB4S Active Subwoofer - (Specify Colour)
B&W-FPK-6R,"B&W FPK6R Flush Plaster Kit for 6"" Round Speakers (Single)"
B&W-FPK-6SQ,"B&W FPK6SQ Flush Plaster Kit for 6"" Square Speaker (Single)"
B&W-FPK-8R,"B&W FPK8R Flush Plaster Kit for 8"" Round Speakers (Single)"
B&W-FPK-8SQ,"B&W FPK8SQ Flush Plaster Kit for 8"" Square Speaker (Single)"
B&W-HTM-71-GB,^B&W HTM71 S2 Centre Speaker - Gloss Black
B&W-IWS-3-SUB,B&W In-wall Subwoofer ISW-3
B&W-IWS-4-BB,B&W MDF Backbox for In-wall Subwoofer ISW-4
B&W-IWS-4-SUB,B&W In-wall Subwoofer ISW-4
B&W-IWS-8-SUB,B&W In-wall Subwoofer ISW-8
B&W-M1-SP-BL,B&W M1 Satellite Speaker (Single) - Black
B&W-M1-SP-ST,B&W M1 Satellite Speaker Stands (Pair) - *Specify Colour*
B&W-M1-SP-WH,B&W M1 Satellite Speaker (Single) - White
B&W-MAR-INE6,"B&W Marine6 6"" IP66 Rated CI Speaker (Pair)"
B&W-MAR-INE8,"B&W Marine8 8"" IP66 Rated CI Speaker (Pair)"
B&W-SA-250,^B&W Dedicated Rack Mounted Amplifier
BAT-9V0-DU-BL,Duracell Procell '9v' Batteries - 10 Pack
BAT-AA0-DU-BL,Duracell Procell 'AA' Batteries - 10 Pack
BAT-AAA-DU-BL,Duracell Procell 'AAA' Batteries - 10 Pack
BAT-C00-DU-BL,Duracell Procell 'C' Batteries - 10 Pack
BAT-D00-DU-BL,Duracell Procell 'D' Batteries - 10 Pack
BLU-4K-DOW-SCA,Blustream HDMI 4K Down Scaler with Audio De-Embedder
BLU-4K-DSCAL-SWI,^Blustream HDMI 4K DownScaler & Splitter with ADID
BLU-4K-HD-SW,Blustream SW41AB-V2 4-Way 4K HDMI Switch
BLU-4K-HEX-KIT,Blustream HEX18GARC-KIT 4K Extender Set
BLU-ACM-210,Blustream ACM210 Multicast Advanced Control Module
BLU-HDM-AUD-EX,Blustream HDMI Audio Embedder / De-Embedder
BLU-HDM-SIG-MAN,"Blustream Advanced HDMI2.0 Signal Manager, HDCP2.2"
BLU-IP300-RX-MC,Blustream IP300UHD-RX Multicast UHD Video Receiver
BLU-IP300-TX-MC,Blustream IP300UHD-TX Multicast UHD Video Transmitter
BLU-IP350-RX-MC,Blustream IP350UHD-RX Multicast UHD Video Receiver (Dante)
BLU-IP350-TX-MC,Blustream IP350UHD-TX Multicast UHD Video Transmitter (Dante
BLU-PAC-500-AU,Blustream Passive Audio Over CAT Cable (Pair)
BLU-RSU-2RU-MC,Blustream 4-Way 19'' 2U Rack Shelf Unit
BLU-RSU-6RU-MC,Blustream Universal 19'' 6U Rack Shelf Unit
BNV-KPD-ARI-9B,"Black Nova Aria 9 Button, Single Frame, Crestron - Glass"
BPT-300-AC-00,^BPT 300 Series Call Adaptor
BPT-300-ICP-LR,BPT 300 Series Encoder
BPT-300-RIR-30,^BPT 300 Series Echelon Interface
BPT-300-VAS-30,^BPT 300 Series PSU
BPT-300-XAV-30,^BPT 300 Series Video Modulator
BPT-300-XDV-30,^BPT 300 Series Distributor
BPT-300-XDV-34,BPT 300 Series Distributor - 4 Output
BPT-APP-CRE-01,BPT/XIP Crestron Soft Interface
BPT-APP-LIC-01,XIP Mobile App License 1 User
BPT-AUD-20-BL,"BPT HA/200 - audio module, black"
BPT-CAM-DM-VC8,XIP Camera And Audio Module
BPT-ETI-XIP-GATE,XIP Gateway To Ethernet
BPT-ETI-XIP-SER,XIP Server for LAN
BPT-IMP-HCX-930,BPT Impro2 Door Intelligent Controller with PSU
BPT-IMP-HMO-901,"BPT Impro 8 Input/8 Output module, IPS Module"
BPT-IMP-HMX-901,BPT Impro 2 Door Wiegand Reader/Control Module
BPT-IMP-HRN-980,BPT Impro Desk Mount Registration
BPT-IMP-HRW-900,BPT Impro HRW900 Multi-Discipline Reader
BPT-IMP-HRW-901,BPT Impro HRW901 Multi-Discipline Reader with Keypad
BPT-IMP-HRW-920,BPT Impro HRW920 Wiegand Metal Reader
BPT-IMP-TKX-90,BPT Impro Tag KR - Med Grey
BPT-IMP-TRX-900,^BPT Impro RF Tag (4 Button)
BPT-IMP-UHR-90,^BPT Impro 4 Channel RF Receiver
BPT-IT-300-BL,^BPT IT/300 - telephone interface module
BPT-MTMV-01,BPT Audio/Video Module for X1 System
BPT-MTMV-08,BPT Audio/Video Module for XIP System
BPT-MTMV-IP,BPT Audio/Video Module for IP360 System
BPT-NOV-BB-BW,^BPT Nova 2 Module Back Box (For Brickwork) - Black
BPT-NOV-VM-GR,^BPT Nova Colour Video Module - Grey
BPT-OPA-MON-BB,Opale Embedding Box
BPT-OPA-MON-BL,Opale Video Hands Free Monitor-Colour Display BLACK
BPT-OPA-MON-WH,Opale Video Hands Free Monitor-Colour Display WHITE
BPT-OPA-MON-WW,Opale Video Hands Free Monitor WIDE - Colour Display WHITE
BPT-REL-R1,BPT R/1 Door Relay
BPT-VAS-PSU-101,VAS/101 BPT Power Supplier
BPT-VEP-00-SS,^BPT XIP Stainless Steel Video Entry Panel - Stainless Steel
BPT-VLS-03-GY,BPT XIP 3 Relays Module
BPT-VRM-BB-S1,BPT VRM Backbox Size 1
BPT-VRM-BB-S2,BPT VRM Backbox Size 2
BPT-VRM-BB-S3,BPT VRM Backbox Size 3
BPT-VRM-SH-02,BPT VRM Surface Housing Size 2 - SS
BPT-VRM-V1-SS,BPT 1 Button Video Entry Panel 2 Module - Stainless Steel
BPT-XIP-VA-01,BPT XIP VA/01 Control unit and PSU
BPT-XIP-VA-08,BPT XIP VA/08 Control unit and PSU
BPT-XTS-5IP-BK,"BPT XTS Monitor 5"" Screen - System IP360 - Black"
BPT-XTS-5IP-WH,"BPT XTS Monitor 5"" Screen - System IP360 - White"
BPT-XTS-5KT,"BPT XTS Table Kit - for 5"" Screen"
BPT-XTS-5SI,"BPT XTS Brick Back Box - 5"" Flush"
BPT-XTS-5SIC,"BPT XTS Plasterboard Back Box - 5"" Flush"
BPT-XTS-7IP-BK,"BPT XTS Monitor 7"" Screen, System IP360 - Black"
BPT-XTS-7IP-WH,"BPT XTS Monitor 7"" Screen - System IP360 - White"
BPT-XTS-7KT,"BPT XTS Table Kit - for 7"" Screen"
BPT-XTS-7SI,"BPT XTS Brick Back Box - 7"" Flush"
BPT-XTS-7SIC,"BPT XTS Plasterboard Back Box - 7"" Flush"
BPT-XTS-7WIF-BL,"BPT XTS Monitor 7"" Screen - WIFI - Black"
BPT-XTS-7WIF-WH,"BPT XTS Monitor 7"" Screen - WIFI - White"
BRO-TAP-09-BL,Brother Labelling Tape 9mm - Black - TZe-325
BRO-TAP-09-WH,Brother Labelling Tape 9mm - White - TZe-S221
BRO-TAP-12-BL,Brother Labelling Tape 12mm - Black - TZe-335
BRO-TAP-12-WH,Brother Labelling Tape 12mm - White - TZe-S231
BRO-TAP-18-BL,Brother Labelling Tape 18mm - Black - TZe-345
BRO-TAP-18-WH,Brother Labelling Tape 18mm - White - TZe-S241
BT-VDSL-NTE5,BT Openreach vDSL/ADSL Master Socket MK4
C4-BAT-COV-250,Control4 Battery + Cover for SR-250/SR-260 Remotes
C4-EA1-ENT-BND,^Control4  EA-1 PoE Entertainment Bundle w/ SR260 Remote
C4-HALO-REM-BL,Control4 Halo Remote (Black)
C4-IO-EXT-BL,Control4 IO Extender
C4-LIC-4-SIG,Control4 One Year 4Sight Subscription Kit
C4-REM-CHA-260,Control4 System Remote Control SR260 and Recharging Station
C4-TS-WALL-BOX,Control4 Touch Screen Wall Box - Retrofit - metal
C4-ZGBE-IO,Control4 ZigBee IO
CAB-1.5MM-ELE-BK,Cable - Black 1.5mm² Singlecore LSOH for Lutron
CAB-1.5MM-ELE-BL,Cable - Blue 1.5mm² Singlecore LSOH for Lutron
CAB-1.5MM-ELE-BR,Cable - Brown 1.5mm² Singlecore LSOH for Lutron
CAB-1.5MM-ELE-GY,Cable - Grey 1.5mm² Singlecore LSOH for Lutron
CAB-1.5MM-ELE-WH,Cable - White 1.5mm² Singlecore for Lutron>
CAB-1.5MM-ELE-YG,Cable - Yellow-Green 1.5mm² Singlecore LSOH for Lutron
CAB-BEL-8761,Cable - Belden 8761  2 Core Shielded for LV Lighting (per/m)
CAB-BEL-9540-GY,Cable - Belden Alt (9540) 10 Core LSF 24 AWG - Grey (per/m)
CAB-DRM-BLI-ND,Cable - Blind Control - White (150m Drum)
CAB-DRM-BT-10PB,Cable - BT 10 Pair External - Black (100m Drum)
CAB-DRM-BT-10PW,Cable - BT 10 Pair Internal + Earth - White (100m Drum)
CAB-DRM-BT-20PB,Cable - BT 20 Pair External - Black (100m Drum)
CAB-DRM-CAT5-STR,Cable - Stranded Cat5 FTP - Grey (305m Drum)
CAB-DRM-CAT6-EXT,Cable - Cat 6 External - Black (305m Drum)
CAB-DRM-CAT6-IB,Cable - Cat6a LSOH - Ice Blue (500m Drum)
CAB-DRM-CAT6-IB3,Cable - Cat6a LSOH - Ice Blue (300m Drum)
CAB-DRM-CAT6-RD,Cable - Cat 6 LSOH - Red (305m Drum)
CAB-DRM-CAT6-STR,Cable - Stranded Cat6 FTP - Grey (500m Drum)
CAB-DRM-CAT7-YW,Cable - Cat7 F/FTP - Yellow (500m Drum)
CAB-DRM-COAX-100,Cable - DFD100 Coax - Black (100m Drum)
CAB-DRM-COAX-125,Cable - DFD125 Co-ax LSZH - Black (250m Drum)
CAB-DRM-COAX-5C,Cable - WF125 5 Core Coax - Black (50m Drum)
CAB-DRM-COAX-5C1,Cable - WF125 5 Core Coax - Black (100m Drum)
CAB-DRM-FIB-SG,"Cable - Cleerline Multimode ""Shotgun"" Fibre (304m Drum)"
CAB-DRM-KNX-100,Cable - KNX 2-Pair - Green (100m Drum)
CAB-DRM-KNX-125,Cable - KNX 2-Pair - Green (250m Drum)
CAB-DRM-LIG-KPD,Cable - Lighting Keypad - Blue (150m Drum)
CAB-DRM-LL-BL,Cable - Line Level - Black (200m Drum)
CAB-DRM-LL-RD,Cable - Line Level - Red (200m Drum)
CAB-DRM-MFB-1.5,Cable - 1.5mm 3 Core Mains Flex - Black (100m Drum)
CAB-DRM-MFW-1.5,Cable - 1.5mm 3 Core Mains Flex - White (100m Drum)
CAB-DRM-SEC-8C,Cable - 8 Core Security - White (200m Drum)
CAB-DRM-SEC-EXT,Cable - External 8 Core PE Security - Black (200m Drum)
CAB-DRM-SPK-BL,"Cable - Speaker 4x2.5mm, LSZH, Black – Audiophile Grade (100m Drum)"
CAB-DRM-SPK-BL1,"Cable - Speaker 4x2.5mm, LSZH, Black – Audiophile Grade (250m Drum)"
CAB-DRM-SPK-BL2,"^Cable - Speaker 4x2.5mm, Black – Steinway (250m Drum)"
CAB-DRM-SPK-DB,Cable - Direct Burial 14/4 Speaker Cable - Black (100m Drum)
CAB-DRM-SPK-WH,Cable - 16/4 Speaker - White (200m Drum)
CAB-FIB-8C-MM,Cable - Data Fibre Optic Cable OM4 8 Core - Black (per/m)
CAB-FIB-8C-SM,Cable - Satellite Fibre Optic Cable OS2 8 Core - Black (per/m)
CAB-FIB-BLO-TB2,Enbeam Fibre 4 Way Blowing Tube (200m Drum)
CAB-FIB-BLO-TBW,Prysmian Fibre 4 Way LSZH Blowing Tube - White (1000m Drum)
CAB-FIB-BLO-TUB,Enbeam Fibre 4 Way Blowing Tube (100m Drum)
CAB-FIB-MM-08,^Cable - SMC Data Fibre Optic - Blue (per/m)
CAB-FIB-SM-08,^Cable - SMC Satellite Fibre Optic - Pink (per/m)
CAB-RG6-01-WH,Cable - RG6 Telewest Coax 75ohm - Black (per/m)
CAM-AP-XE3-4,Cambium XE3-4 WiFi6e Tri Radio 4×4 Access Point
CAM-AP-XE3-8,Cambium XV3-8 WiFi6e Tri Radio 8×8 Access Point
CAM-AP-XV2-23T,Cambium XV2-23T Wi-Fi 6 2X2 Outdoor Access Point
CAM-ROU-NSE-300,Cambium NSE-3000 Network Service Edge Router
CAM-ROU-NSE-LC1,Cambium NSE-3000 Licence - 1 Year Subscription
CAM-ROU-NSE-LC3,Cambium NSE-3000 Licence - 3 Year Subscription
CAM-ROU-NSE-LC5,Cambium NSE-3000 Licence - 5 Year Subscription
CAM-SWT-08-BL,Cambium 8 Port Managed Switch
CAM-SWT-08-FPOE,Cambium 8 Port Managed Switch - Full PoE (400w)
CAM-SWT-08-POE,Cambium 8 Port Managed Switch - PoE+ (200w)
CAM-SWT-08-RMK,Rack Ear for Cambium 8 Port Managed Switch (Single)
CAM-SWT-24-BL,Cambium 24 Port Managed Switch
CAM-SWT-24-P2W,Cambium 24 Port Managed Switch - PoE+ (200w)
CAM-SWT-24-POE,Cambium 24 Port Managed Switch - Full PoE (400w)
CAM-SWT-48-BL,Cambium 48 Port Managed Switch
CAM-SWT-48-POE,Cambium 48 Port Managed Switch - Full PoE (400w)
CARRIAGE,Suppliers Carriage
CHO-SPK-CAR-SIL,Chord Carnival Silver Screen Speaker Cable
CHO-SPK-EPI-TWI,Chord Epic Twin Speaker Cable
CHO-SPK-ODY-100,Chord Odyssey 2 Speaker Cable
CLE-FIB-10G-SFP,Cleerline 10G SFP Transceiver Module - MM
CLE-FIB-1G-SFP,Cleerline 1G SFP Transceiver Module - MM
CLE-HDM-8K-05M,Cleerline SSF 8K Ultra High Definition HDMI Lead - 5m
CLE-HDM-8K-10M,Cleerline SSF 8K Ultra High Definition HDMI Lead - 10m
CLE-HDM-8K-15M,Cleerline SSF 8K Ultra High Definition HDMI Lead - 15m
CLE-HDM-8K-20M,Cleerline SSF 8K Ultra High Definition HDMI Lead - 20m
CLE-HDM-8K-30M,Cleerline SSF 8K Ultra High Definition HDMI Lead - 30m
CLE-HDM-8K-40M,Cleerline SSF 8K Ultra High Definition HDMI Lead - 40m
CLI-BLK-1M-BL,Click 1M Blank Module - Black
CLI-BRSH-1M,Click 1M Clip-in Brush Module - White/White
CLI-BRSH-1M-BL,Click 1M Clip-in Brush Module - Black/Black
CLI-BRSH-1M-WB,Click 1M Clip-in Brush Module - White/Black
COM-SCP-10D-CPL,Commscope 10 dB Coupler  VD-C10-CPUSEW-43
COM-SCP-15D-CPL,Commscope 15 dB Coupler  VD-C15-CPUSEW-43
COM-SCP-20D-CPL,Commscope 20 dB Coupler  VD-C20-CPUSEW-43
COM-SCP-2W-SP,Commscope 2-way Splitter  VD-S2-CPUSEW-H-43
COM-SCP-3W-SPL,Commscope 3-way Splitter  VD-S3-CPUSEW-H-43
COM-SCP-6D-CPL,Commscope 6 dB Coupler  VD-C6-CPUSEW-43
COM-SCP-8D-CPL,Commscope 8 dB Coupler  VD-C8-CPUSEW-43
COM-SCP-F2-HMD,Commscope FSJ2-50 Connector  F2HM-D
COM-SCP-F4-HMD,Commscope FSJ4-50 Connector  F4HM-D
COM-SCP-F4-HRD,Commscope FSJ4-50 Right Angle Connector  F4HR-D
"CON-""F""-CR-00",^Connector - F for CT125 Crimp
"CON-""F""-PH-00",Connector - F Female - Phono Male
"CON-""F""-WB-100",Connector - Webro CX100 F Crimp
"CON-""F""-WB-125",Connector - Webro CX125 F Crimp
"CON-""F""TW-00",Connector - F Twist for CT100
CON-BAN-LL-BL,Connector - Low Level Speaker Sockets -  Gold/Black
CON-BAN-LL-RD,Connector - Low Level Speaker Sockets -  Gold/Red
CON-BAN-PR-BL,Connector - Profigold Speaker Banana Plugs - Black
CON-BAN-PR-RD,Connector - Profigold Speaker Banana Plugs - Red
CON-BLO-06-WH,Connector - 6A Connection Block
CON-BLO-10-WH,Connector - 10A Connection Block
CON-BLO-16-WH,Connector - 16A Connection Block
CON-BLO-BX-WH,Connector - Choc Box for Connection Block
CON-BNC-AD-00,Connector - BNC Coupler - Female
CON-BNC-CT-70,Connector - BNC Crimp Plug for RG59 / URM70
CON-BNC-FC-00,Connector - BNC Male - F Female
CON-BNC-PH-00,Connector - BNC Plug to Phono Socket
CON-BNC-RA-AD,Connector - Right Angle BNC Socket to Plug 75ohm Adapter
CON-BNC-SM-00,Connector - BNC Plug for RG179 / RGBHV
CON-BOX-01-BL,Connector - Waterproof Enclosure 110x110x66 - Black
CON-BOX-01-GY,Connector - Waterproof Enclosure 110x110x66 - Grey
CON-BOX-02-BL,Connector - Waterproof Enclosure 140x140x82 - Black
CON-BOX-02-GY,Connector - Waterproof Enclosure 140x140x82 - Grey
CON-BOX-03-BL,Connector - Waterproof Enclosure 160x140x81 - Black
CON-BOX-03-GY,Connector - Waterproof Enclosure 160x140x81 - Grey
CON-BOX-DL-1G,Appleby 1G 35mm Dry Lining Box
CON-BOX-DL-2G,Appleby 2G 35mm Dry Lining Box
CON-BT-2W-AD,Connector - BT 2 Way Adaptor
CON-BTP-RH-6W,Connector - BT Plug 631A 6 Way - Pack of 25
CON-CAB-SLE-01,Expandable Braided Sleeving  10 - 20mm Black
CON-CAB-SLE-02,Expandable Braided Sleeving  12 - 24mm Black
CON-CAB-SLE-03,Expandable Braided Sleeving  15 - 27mm Black
CON-CAB-SLE-04,Expandable Braided Sleeving  19 - 32mm Black
CON-CAB-SLE-05,Expandable Braided Sleeving  24 - 38mm Black
CON-CAB-SLE-06,Expandable Braided Sleeving  28 - 47mm Black
CON-CAB-SLE-07,Expandable Braided Sleeving  40 - 63mm Black
CON-CAB-SLE-08,Expandable Braided Sleeving  45 - 75mm Black
CON-CAB-SLE-19W,Expandable Braidd Sleeving 19mm White
CON-CAB-SLE-32W,Expandable Braidd Sleeving 32mm White
CON-CAT-05-CP,Connector - Cat 6 Joint Box
CON-CAT-06A-CP,Connector - Cat 6A (Shielded) Joint Box
CON-CPL-FF-00,Connector - F Female - F Female Coupler
CON-DHD-09-BL,Connector - D Type Hoods 9 Way - Black
CON-DIG-CO-OP,Connector - Digital Sound COAX to Optical
CON-DIG-OP-CO,Connector - Digital Sound  Optical to COAX
CON-DSP-09-BL,Connector - D Type Plug 9 Way - Black
CON-DSS-09-BL,Connector - D Type Socket 9 Way - Black
CON-DSS-15-BL,Connector - D Type Socket 15 Way - Black
CON-EMJ-PL-SK,^Connector - 230v 10A Mains Flex Joiner
